pc,cn,hi,gi,year_range,label
18,320,9,17,7,1
1,17,1,1,1,1
14,27,3,3,8,1
15,27,3,3,8,1
2,1,1,1,2,1
2,7,1,2,1,1
3,1,1,1,4,1
10,25,3,3,8,1
8,4,2,2,8,1
2,2,1,1,2,1
1,5,1,1,1,1
17,6,2,2,18,1
1,2,1,1,1,1
6,12,2,2,11,1
2,4,1,2,1,1
5,42,4,5,4,1
15,30,4,4,5,1
1,0,0,0,1,1
5,4,2,2,5,1
6,1,1,1,13,1
1,0,0,0,1,1
2,0,0,0,1,1
3,3,1,1,3,1
1,0,0,0,1,1
1,1,1,1,1,1
1,0,0,0,1,1
1,0,0,0,1,1
1,0,0,0,1,1
19,204,8,10,8,1
1,0,0,0,1,1
1,0,0,0,1,1
27,322,10,11,14,0
24,44,4,4,6,1
44,451,8,10,19,0
5,5,2,2,3,1
22,216,5,9,14,0
52,127,5,5,13,0
29,58,4,4,11,0
76,557,12,12,15,0
11,124,3,11,11,1
40,600,10,15,20,0
27,65,5,5,8,1
17,47,4,4,7,1
49,702,13,14,11,0
1,0,0,0,1,1
1,61,1,1,1,1
19,37,4,4,5,1
2,0,0,0,3,1
4,4,1,1,23,1
1,2,1,1,1,1
8,80,5,8,6,1
4,1,1,1,4,1
4,12,2,3,4,1
120,1778,24,24,32,0
3,20,2,3,4,1
5,7,1,1,18,1
1,0,0,0,1,1
13,93,5,7,8,1
9,3,1,1,9,1
5,1,1,1,2,1
8,32,4,4,7,1
1,0,0,0,1,1
2,45,0,2,2,1
1,0,0,0,1,1
201,2293,24,24,22,0
1,1,1,1,1,1
27,32,3,3,27,0
1,1,1,1,1,1
1,0,0,0,1,1
1,0,0,0,1,1
2,0,0,0,2,1
2,3,1,1,1,1
21,15,3,3,29,0
3,2,1,1,4,1
1,0,0,0,1,1
1,1,1,1,1,1
2,1,1,1,2,1
2,3,1,1,2,1
4,13,2,3,4,1
5,2,1,1,5,1
30,93,6,6,14,0
3,1,1,1,4,1
5,90,4,5,11,1
2,1,1,1,1,1
5,9,1,1,2,1
6,5,1,1,2,1
77,95,5,5,10,0
2,1,1,1,1,1
26,161,7,7,18,0
3,0,0,0,5,1
3,1,1,1,7,1
3,11,2,3,10,1
1,0,0,0,1,1
1,0,0,0,1,1
1,0,0,0,1,1
2,0,0,0,1,1
3,1,1,1,2,1
1,0,0,0,1,1
86,540,11,11,14,0
1,1,1,1,1,1
1,0,0,0,1,1
1,1,1,1,1,1
52,143,6,6,24,0
44,21,2,2,10,0
2,14,1,2,2,1
4,12,3,3,5,1
44,116,6,6,16,0
31,1183,10,31,16,0
24,252,8,10,9,0
37,146,4,4,13,0
13,36,3,3,10,1
1,0,0,0,1,1
2,0,0,0,2,1
1,0,0,0,1,1
4,83,3,4,3,1
4,2,1,1,6,1
5,25,3,5,6,1
385,822,13,13,16,0
2,4,1,2,1,1
1,0,0,0,1,1
30,94,6,6,21,0
2,36,0,2,1,1
1,0,0,0,1,1
1,0,0,0,1,1
11,7,2,2,6,1
1,0,0,0,1,1
1,25,1,1,1,1
7,42,3,6,6,1
128,1058,17,17,22,0
14,28,2,2,14,1
22,149,5,6,26,0
1,2,1,1,1,1
1,5,1,1,1,1
5,7,1,1,5,1
4,7,1,1,3,1
1,2,1,1,1,1
11,41,4,4,5,1
1,3,1,1,1,1
10,70,5,7,7,1
3,7,1,2,3,1
1,2,1,1,1,1
1,4,1,1,1,1
1,2,1,1,1,1
1,1,1,1,1,1
15,13,2,2,7,1
1,2,1,1,1,1
1,19,1,1,1,1
23,355,11,15,26,0
14,28,4,4,7,1
11,21,3,3,15,1
2,0,0,0,1,1
2,0,0,0,3,1
1,0,0,0,1,1
1,0,0,0,1,1
10,70,4,7,7,1
3,18,2,3,9,1
1,0,0,0,1,1
13,42,3,3,7,1
6,68,3,6,3,1
2,0,0,0,2,1
15,180,7,12,12,1
126,708,16,16,31,0
1,0,0,0,1,1
2,167,1,2,5,1
22,39,4,4,9,0
13,32,4,4,9,1
1,0,0,0,1,1
15,212,9,14,7,1
3,2,1,1,4,1
1,0,0,0,1,1
2,0,0,0,2,1
1,1,1,1,1,1
7,22,3,3,3,1
2,3,1,1,1,1
1,46,1,1,1,1
23,180,5,7,27,0
2,8,1,2,1,1
29,125,7,7,9,0
3,0,0,0,2,1
1,0,0,0,1,1
7,75,2,7,17,1
168,2300,25,25,28,0
55,68,4,4,22,0
10,194,6,10,8,1
1,7,1,1,1,1
1,0,0,0,1,1
1,0,0,0,1,1
2,0,0,0,6,1
108,273,8,8,18,0
2,0,0,0,1,1
6,6,1,1,3,1
5,99,4,5,5,1
13,168,6,12,9,1
7,105,5,7,6,1
17,93,5,5,14,1
9,74,6,8,6,1
71,576,13,13,29,0
70,635,15,15,20,0
5,42,2,5,4,1
16,150,9,9,8,1
1,0,0,0,1,1
4,4,1,1,7,1
3,9,2,3,5,1
24,79,5,5,8,1
1,1,1,1,1,1
6,30,3,5,5,1
1,2,1,1,1,1
2,1,1,1,1,1
2,0,0,0,2,1
1,0,0,0,1,1
1,2,1,1,1,1
1,0,0,0,1,1
4,1,1,1,7,1
27,136,4,5,13,0
1,0,0,0,1,1
17,256,9,15,6,1
9,29,3,3,5,1
79,458,11,11,14,0
2,2,1,1,2,1
4,1,1,1,4,1
1,0,0,0,1,1
20,58,4,4,15,1
10,16,2,2,5,1
1,0,0,0,1,1
1,0,0,0,1,1
7,3,1,1,4,1
1,0,0,0,1,1
14,270,6,14,5,1
1,31,1,1,1,1
3,17,2,3,2,1
5,38,2,5,9,1
2,6,1,2,1,1
1,3,1,1,1,1
3,3,1,1,5,1
1,0,0,0,1,1
4,32,3,4,2,1
38,226,9,9,11,0
1,0,0,0,1,1
69,242,7,7,26,0
24,105,5,5,15,0
14,230,7,14,12,1
32,769,7,24,25,0
9,24,2,2,8,1
19,53,4,4,7,1
1,0,0,0,1,1
3,7,1,2,4,1
39,178,9,9,12,0
10,68,3,6,10,1
1,0,0,0,1,1
20,799,5,20,13,1
1,0,0,0,1,1
7,6,2,2,17,1
2,0,0,0,1,1
4,77,2,4,7,1
1,2,1,1,1,1
55,161,5,5,22,0
18,98,5,5,16,1
1,0,0,0,1,1
6,120,4,6,6,1
5,39,3,5,3,1
7,2,1,1,6,1
4,3,1,1,10,1
3,1,1,1,3,1
1,0,0,0,1,1
2,6,1,2,2,1
11,31,3,3,7,1
1,0,0,0,1,1
11,43,4,4,24,1
8,217,7,8,3,1
2,5,0,2,3,1
46,240,8,8,17,0
5,43,4,5,4,1
8,12,2,2,7,1
1,1,1,1,1,1
1,2,1,1,1,1
6,0,0,0,12,1
80,1685,16,21,23,0
21,106,6,6,12,0
2,2,1,1,3,1
4,21,3,4,4,1
1,0,0,0,1,1
15,26,3,3,3,1
137,901,15,15,20,0
5,24,3,4,10,1
38,287,9,9,13,0
45,667,15,15,10,0
10,10,2,2,17,1
1,0,0,0,1,1
2,17,0,2,4,1
4,4,1,1,5,1
38,51,4,4,6,1
1,0,0,0,1,1
15,722,8,15,11,1
1,0,0,0,1,1
71,2633,25,37,18,0
8,25,3,3,12,1
16,17,2,2,15,1
132,7907,35,59,28,0
1,12,1,1,1,1
3,1,1,1,1,1
1,0,0,0,1,1
19,18,3,3,17,1
14,29,3,3,15,1
2,0,0,0,2,1
14,40,4,4,12,1
6,3,1,1,5,1
25,366,8,14,7,1
2,0,0,0,1,1
1,0,0,0,1,1
1,0,0,0,1,1
21,72,6,6,19,0
5,5,1,1,2,1
6,17,3,3,2,1
4,26,2,4,4,1
28,229,9,9,17,0
1,0,0,0,1,1
7,48,4,6,11,1
1,0,0,0,1,1
3,34,2,3,1,1
46,236,8,8,17,0
1,0,0,0,1,1
1,0,0,0,1,1
5,32,3,5,1,1
1,0,0,0,1,1
1,0,0,0,1,1
6,19,3,3,3,1
1,1,1,1,1,1
5,0,0,0,3,1
3,13,1,3,9,1
2,0,0,0,1,1
3,2,1,1,2,1
3,0,0,0,1,1
8,44,4,5,5,1
77,2658,22,34,30,0
2,53,0,2,2,1
2,1,1,1,1,1
9,22,3,3,17,1
20,48,4,4,21,1
84,125,5,5,12,0
30,173,9,9,21,0
1,0,0,0,1,1
17,29,2,2,18,1
1,0,0,0,1,1
1,0,0,0,1,1
46,187,8,8,35,0
1,0,0,0,1,1
4,23,2,4,3,1
1,3,1,1,1,1
2,1,1,1,2,1
1,0,0,0,1,1
29,104,5,5,17,0
44,526,13,13,25,0
1,6,1,1,1,1
5,13,2,2,8,1
25,653,8,25,26,0
22,55,3,3,8,1
2,12,1,2,6,1
28,344,11,12,14,0
65,208,6,6,30,0
154,932,13,13,20,0
15,6,2,2,26,1
5,8,2,2,3,1
1,2,1,1,1,1
17,214,8,12,16,1
25,75,5,5,13,0
1,0,0,0,1,1
1,0,0,0,1,1
10,19,2,2,5,1
15,186,7,12,6,1
71,856,8,12,24,0
9,360,5,9,10,1
5,13,2,2,3,1
41,1121,18,27,18,0
5,7,1,1,6,1
12,31,4,4,10,1
5,3,1,1,7,1
3,10,2,3,5,1
1,4,1,1,1,1
11,11,2,2,8,1
11,28,3,3,7,1
4,0,0,0,1,1
78,856,16,16,12,0
6,17,2,2,16,1
7,53,2,7,7,1
1,1,1,1,1,1
4,0,0,0,3,1
7,28,3,4,8,1
2,0,0,0,1,1
1,5,1,1,1,1
39,136,7,7,10,0
9,303,7,9,3,1
15,53,5,5,9,1
60,411,6,6,19,0
3,5,2,2,1,1
1,0,0,0,1,1
8,6,1,1,4,1
3,39,2,3,2,1
2,1,1,1,1,1
48,221,8,8,20,0
4,0,0,0,7,1
1,0,0,0,1,1
2,0,0,0,1,1
6,0,0,0,2,1
2,67,0,2,3,1
2,20,1,2,4,1
40,198,8,8,18,0
1,3,1,1,1,1
65,97,5,5,15,0
2,3,1,1,3,1
3,0,0,0,1,1
4,11,2,2,7,1
1,0,0,0,1,1
1,3,1,1,1,1
2,1,1,1,1,1
3,0,0,0,2,1
126,1081,17,17,29,0
4,7,1,1,2,1
50,62,5,5,9,0
3,7,2,2,5,1
1,0,0,0,1,1
1,7,1,1,1,1
10,10,2,2,17,1
2,0,0,0,1,1
3,15,2,3,2,1
1,0,0,0,1,1
41,27,3,3,9,0
1,0,0,0,1,1
75,274,7,7,19,0
17,28,3,3,9,1
1,0,0,0,1,1
20,9,2,2,14,1
13,1,1,1,6,1
3,0,0,0,2,1
1,8,1,1,1,1
1,7,1,1,1,1
1,0,0,0,1,1
22,696,8,22,15,0
1,7,1,1,1,1
77,295,10,10,22,0
1,0,0,0,1,1
2,47,0,2,3,1
6,5,1,1,3,1
10,29,4,4,13,1
24,621,10,24,15,0
1,0,0,0,1,1
7,2,1,1,8,1
10,21,2,2,8,1
15,43,2,2,9,1
5,9,2,2,4,1
2,5,1,2,5,1
10,10,2,2,6,1
1,0,0,0,1,1
2,5,1,2,2,1
2,0,0,0,1,1
3,0,0,0,2,1
1,1,1,1,1,1
53,354,10,10,20,0
37,216,8,8,17,0
126,327,9,9,25,0
2,3,1,1,6,1
6,10,2,2,4,1
1,0,0,0,1,1
13,9,2,2,13,1
33,204,9,9,21,0
1,0,0,0,1,1
5,8,2,2,12,1
1,0,0,0,1,1
11,10,2,2,10,1
12,53,4,4,9,1
1,0,0,0,1,1
11,8,2,2,6,1
46,157,6,6,21,0
3,20,2,3,1,1
2,4,1,2,1,1
2,7,0,2,8,1
9,18,3,3,7,1
46,426,13,13,17,0
1,0,0,0,1,1
2,0,0,0,2,1
2,11,1,2,1,1
89,1396,21,21,11,0
1,0,0,0,1,1
2,0,0,0,3,1
1,0,0,0,1,1
1,57,1,1,1,1
1,0,0,0,1,1
3,3,1,1,2,1
9,5,1,1,6,1
14,21,3,3,10,1
1,0,0,0,1,1
83,2793,26,33,25,0
2,14,0,2,1,1
2,17,1,2,2,1
1,1,1,1,1,1
1,0,0,0,1,1
24,130,7,7,11,0
1,1,1,1,1,1
6,3,1,1,3,1
22,35,3,3,7,1
1,2,1,1,1,1
16,12,2,2,9,1
3,7,1,2,5,1
54,229,7,7,10,0
1,0,0,0,1,1
78,91,5,5,15,0
2,8,0,2,2,1
3,30,2,3,6,1
7,9,2,2,5,1
54,833,15,15,23,0
5,9,2,2,8,1
5,12,2,2,4,1
8,1,1,1,5,1
4,8,2,2,3,1
1,0,0,0,1,1
1,0,0,0,1,1
1,0,0,0,1,1
8,21,4,4,4,1
7,1,1,1,6,1
2,1,1,1,4,1
5,20,3,4,8,1
2,0,0,0,1,1
3,10,2,3,5,1
5,0,0,0,4,1
59,101,5,5,18,0
1,9,1,1,1,1
1,6,1,1,1,1
2,0,0,0,2,1
14,4,1,1,18,1
3,0,0,0,2,1
19,22,3,3,8,1
4,15,2,3,1,1
20,108,5,5,9,1
6,9,2,2,5,1
18,17,2,2,5,1
2,1,1,1,3,1
8,25,2,3,5,1
11,81,3,7,16,1
2,0,0,0,2,1
1,1,1,1,1,1
1,37,1,1,1,1
80,541,14,14,25,0
1,0,0,0,1,1
10,10,2,2,8,1
31,86,5,5,17,0
1,1,1,1,1,1
2,0,0,0,2,1
