pc,cn,hi,gi,year_range,label
154,1982,23,23,26,0
120,2522,28,28,28,0
144,312,8,8,25,0
1,5,1,1,1,1
8,11,2,2,11,1
6,49,3,6,3,1
42,291,9,9,19,0
6,23,3,3,5,1
8,102,6,8,7,1
10,36,3,3,9,1
2,0,0,0,1,1
3,0,0,0,2,1
7,2,1,1,8,1
6,10,2,2,4,1
6,1,1,1,2,1
30,88,4,4,20,0
1,0,0,0,1,1
4,11,2,2,5,1
5,86,3,5,10,1
93,2044,17,21,30,0
85,333,10,10,21,0
1,0,0,0,1,1
8,5,2,2,4,1
14,35,3,3,10,1
1,0,0,0,1,1
1,0,0,0,1,1
28,193,7,7,11,0
1,0,0,0,1,1
2,7,0,2,1,1
1,1,1,1,1,1
16,289,8,16,4,1
37,44,4,4,13,0
1,0,0,0,1,1
3,7,2,2,2,1
1,0,0,0,1,1
20,7,2,2,12,1
46,120,6,6,22,0
1,2,1,1,1,1
2,0,0,0,2,1
1,0,0,0,1,1
25,30,3,3,7,1
1,0,0,0,1,1
13,16,2,2,14,1
8,12,2,2,6,1
10,69,5,6,9,1
3,1,1,1,6,1
8,34,3,4,8,1
2,19,0,2,4,1
6,23,3,3,5,1
5,7,2,2,3,1
54,89,5,5,15,0
7,26,3,3,5,1
1,0,0,0,1,1
7,13,2,2,5,1
1,3,1,1,1,1
1,5,1,1,1,1
1,0,0,0,1,1
38,193,6,6,15,0
1,266,1,1,1,1
1,0,0,0,1,1
6,17,2,2,5,1
14,36,3,3,8,1
1,3,1,1,1,1
2,1,1,1,2,1
14,168,6,12,13,1
22,424,8,19,17,0
3,0,0,0,1,1
1,5,1,1,1,1
1,2,1,1,1,1
9,36,3,4,10,1
4,3,1,1,9,1
3,0,0,0,2,1
15,23,3,3,9,1
1,0,0,0,1,1
18,92,5,5,11,1
4,3,1,1,3,1
4,4,1,1,2,1
1,0,0,0,1,1
3,0,0,0,2,1
13,178,5,13,7,1
29,194,6,6,20,0
30,86,5,5,13,0
1,2,1,1,1,1
2,0,0,0,2,1
7,3,1,1,7,1
2,0,0,0,1,1
79,158,6,6,19,0
2,0,0,0,1,1
1,34,1,1,1,1
3,2,1,1,3,1
1,0,0,0,1,1
1,0,0,0,1,1
4,4,1,1,7,1
23,80,4,4,11,0
4,4,1,1,1,1
15,54,3,3,25,1
14,86,5,6,6,1
9,34,4,4,13,1
14,294,6,14,9,1
2,6,0,2,5,1
1,0,0,0,1,1
28,80,5,5,26,0
1,3,1,1,1,1
1,0,0,0,1,1
5,13,2,2,21,1
3,2,1,1,2,1
15,25,3,3,7,1
3,2,1,1,4,1
1,0,0,0,1,1
13,6,1,1,23,1
1,54,1,1,1,1
5,1,1,1,4,1
9,54,4,6,13,1
1,0,0,0,1,1
17,180,6,10,6,1
4,1,1,1,2,1
2,1,1,1,1,1
59,271,9,9,21,0
1,0,0,0,1,1
2,36,0,2,1,1
1,2,1,1,1,1
1,0,0,0,1,1
8,101,4,8,9,1
1,0,0,0,1,1
4,2,1,1,3,1
2,14,0,2,2,1
25,338,5,13,38,0
1,2,1,1,1,1
1,0,0,0,1,1
1,0,0,0,1,1
9,72,6,8,5,1
3,1,1,1,4,1
1,2,1,1,1,1
13,14,2,2,5,1
3,0,0,0,3,1
144,778,15,15,19,0
2,1,1,1,3,1
3,1,1,1,3,1
12,45,4,4,4,1
1,0,0,0,1,1
27,262,8,9,19,0
45,217,8,8,32,0
6,5,1,1,7,1
2,9,0,2,1,1
61,91,5,5,21,0
6,14,1,2,8,1
2,0,0,0,2,1
1,3,1,1,1,1
1,0,0,0,1,1
12,232,6,12,9,1
5,0,0,0,7,1
46,153,5,5,13,0
7,2,1,1,19,1
2,9,0,2,7,1
3,1,1,1,4,1
1,0,0,0,1,1
12,12,2,2,5,1
6,9,2,2,13,1
35,386,10,11,14,0
3,1,1,1,2,1
12,66,3,5,6,1
1,0,0,0,1,1
25,515,13,20,20,0
1,0,0,0,1,1
1,0,0,0,1,1
3,0,0,0,3,1
7,12,2,2,8,1
9,23,3,3,7,1
16,141,5,8,24,1
8,50,3,6,10,1
35,141,5,5,21,0
6,117,3,6,6,1
15,5,1,1,12,1
1,0,0,0,1,1
51,63,4,4,19,0
16,90,5,5,10,1
8,1,1,1,5,1
6,20,2,3,4,1
5,0,0,0,2,1
4,100,0,4,3,1
27,664,14,24,22,0
1,0,0,0,1,1
1,0,0,0,1,1
37,101,6,6,10,0
2,0,0,0,4,1
1,0,0,0,1,1
34,197,7,7,8,1
3,19,1,3,5,1
1,0,0,0,1,1
9,57,4,6,4,1
6,1,1,1,6,1
22,67,5,5,13,0
2,4,1,2,6,1
1,0,0,0,1,1
1,0,0,0,1,1
18,577,8,18,19,1
2,28,0,2,3,1
1,1,1,1,1,1
3,1,1,1,2,1
25,336,9,13,12,0
6,5,1,1,3,1
16,59,3,3,9,1
10,4,1,1,8,1
102,111,5,5,18,0
2,2,1,1,1,1
1,0,0,0,1,1
9,19,2,2,22,1
1,0,0,0,1,1
8,11,3,3,5,1
28,668,9,23,17,0
2,11,0,2,3,1
1,0,0,0,1,1
46,451,13,13,10,0
7,0,0,0,5,1
2,1,1,1,6,1
184,688,13,13,13,0
3,6,2,2,4,1
6,31,3,5,7,1
19,43,4,4,20,1
111,1674,21,21,15,0
16,93,6,6,8,1
60,111,5,5,18,0
1,0,0,0,1,1
3,13,1,3,1,1
3,1,1,1,12,1
1,0,0,0,1,1
43,282,9,9,15,0
3,0,0,0,2,1
24,10,2,2,12,0
66,692,13,13,23,0
4,3,1,1,3,1
1,0,0,0,1,1
4,26,2,4,3,1
1,0,0,0,1,1
1,3,1,1,1,1
1,0,0,0,1,1
3,6,2,2,1,1
2,0,0,0,1,1
16,38,3,3,26,1
1,0,0,0,1,1
12,14,2,2,8,1
1,0,0,0,1,1
16,42,4,4,5,1
2,0,0,0,3,1
1,0,0,0,1,1
60,82,5,5,18,0
7,7,1,1,5,1
6,41,4,6,7,1
1,1,1,1,1,1
6,11,2,2,8,1
15,51,4,4,9,1
11,14,2,2,5,1
1,12,1,1,1,1
6,26,4,4,11,1
4,5,1,1,5,1
19,67,5,5,6,1
1,0,0,0,1,1
4,19,3,4,4,1
22,104,5,5,13,0
83,1216,14,14,22,0
14,12,2,2,13,1
37,127,6,6,18,0
1,3,1,1,1,1
19,48,4,4,12,1
3,27,0,3,3,1
2,1,1,1,1,1
1,3,1,1,1,1
7,40,3,5,5,1
5,36,2,5,5,1
5,14,3,3,8,1
1,0,0,0,1,1
1,0,0,0,1,1
1,3,1,1,1,1
3,2,1,1,11,1
1,0,0,0,1,1
1,0,0,0,1,1
10,63,4,6,9,1
3,1,1,1,2,1
2,3,1,1,4,1
1,0,0,0,1,1
7,46,4,6,7,1
4,16,1,4,2,1
1,0,0,0,1,1
16,179,7,11,6,1
1,0,0,0,1,1
2,175,0,2,4,1
8,12,2,2,6,1
1,0,0,0,1,1
1,0,0,0,1,1
29,164,8,8,19,0
1,0,0,0,1,1
1,1,1,1,1,1
1,1,1,1,1,1
1,3,1,1,1,1
19,180,7,9,14,1
2,3,1,1,1,1
2,3,1,1,1,1
1,0,0,0,1,1
2,1,1,1,2,1
133,774,14,14,26,0
7,13,1,1,4,1
1,0,0,0,1,1
1,0,0,0,1,1
7,84,5,7,7,1
6,53,3,6,5,1
13,36,3,3,6,1
46,206,8,8,23,0
1,0,0,0,1,1
4,11,2,2,3,1
6,14,2,2,5,1
1,3,1,1,1,1
5,5,1,1,6,1
9,36,4,4,3,1
46,211,8,8,15,0
2,14,1,2,2,1
3,1,1,1,1,1
7,19,3,3,4,1
3,0,0,0,1,1
22,631,9,22,11,0
1,0,0,0,1,1
1,0,0,0,1,1
5,5,1,1,7,1
12,32,3,3,9,1
7,3,1,1,5,1
37,347,11,11,17,0
2,0,0,0,2,1
3,6,2,2,3,1
60,234,8,8,10,0
35,315,8,9,17,0
73,333,8,8,14,0
3,1,1,1,2,1
121,512,11,11,32,0
43,1087,15,25,31,0
2,0,0,0,1,1
9,40,4,4,13,1
5,7,2,2,8,1
3,1,1,1,3,1
28,47,3,3,14,0
11,42,4,4,11,1
12,13,2,2,3,1
6,12,2,2,6,1
8,38,4,4,3,1
2,7,1,2,3,1
64,315,12,12,21,0
2,19,1,2,4,1
124,1543,21,21,19,0
1,0,0,0,1,1
5,1,1,1,4,1
1,0,0,0,1,1
27,561,10,20,12,0
5,3,1,1,5,1
6,22,3,3,4,1
1,0,0,0,1,1
2,2,1,1,5,1
5,8,2,2,5,1
5,14,2,2,5,1
8,35,4,4,9,1
2,0,0,0,2,1
8,16,3,3,7,1
1,0,0,0,1,1
46,166,7,7,21,0
109,698,13,13,22,0
28,39,3,3,7,1
4,5,1,1,5,1
76,1076,17,17,24,0
3,10,1,3,5,1
45,161,7,7,13,0
2,0,0,0,8,1
8,6,1,1,4,1
1,0,0,0,1,1
4,11,1,2,3,1
4,2,1,1,2,1
1,1,1,1,1,1
1,0,0,0,1,1
110,593,10,10,31,0
1,185,1,1,1,1
2,0,0,0,4,1
1,0,0,0,1,1
2,0,0,0,1,1
1,0,0,0,1,1
1,0,0,0,1,1
1,5,1,1,1,1
19,65,5,5,11,1
8,27,4,4,9,1
1,0,0,0,1,1
1,1,1,1,1,1
1,0,0,0,1,1
1,0,0,0,1,1
4,159,3,4,3,1
2,5,1,2,3,1
1,0,0,0,1,1
12,93,6,7,11,1
18,859,8,18,11,1
47,235,7,7,23,0
136,1212,20,20,24,0
12,16,2,2,15,1
81,307,9,9,21,0
2,0,0,0,2,1
14,41,4,4,8,1
3,4,1,1,1,1
6,1,1,1,6,1
1,0,0,0,1,1
1,5,1,1,1,1
23,30,2,2,9,0
16,27,3,3,8,1
8,6,1,1,24,1
1,1,1,1,1,1
1,0,0,0,1,1
15,57,5,5,9,1
1,0,0,0,1,1
32,68,5,5,15,0
52,274,9,9,12,0
1,0,0,0,1,1
1,0,0,0,1,1
53,218,8,8,19,0
4,10,2,2,2,1
1,0,0,0,1,1
1,0,0,0,1,1
43,712,14,16,14,0
2,0,0,0,3,1
1,1,1,1,1,1
16,61,5,5,16,1
2,1,1,1,1,1
1,3,1,1,1,1
10,138,6,10,7,1
37,170,6,6,16,0
1,1,1,1,1,1
1,0,0,0,1,1
1,0,0,0,1,1
1,0,0,0,1,1
1,1,1,1,1,1
2,77,0,2,2,1
4,2,1,1,7,1
1,0,0,0,1,1
14,140,5,10,10,1
1,0,0,0,1,1
5,18,2,3,8,1
32,92,4,4,19,0
19,544,6,19,14,1
5,3,1,1,3,1
1,6,1,1,1,1
2,1,1,1,2,1
9,94,6,9,4,1
7,1,1,1,3,1
1,4,1,1,1,1
12,101,5,8,11,1
7,14,1,2,6,1
119,980,13,13,27,0
2,0,0,0,4,1
7,20,3,3,8,1
1,0,0,0,1,1
32,173,7,7,15,0
1,0,0,0,1,1
5,157,3,5,4,1
2,1,1,1,2,1
3,9,2,3,6,1
1,0,0,0,1,1
3,12,2,3,5,1
14,9,2,2,12,1
1,0,0,0,1,1
1,0,0,0,1,1
158,324,8,8,28,0
1,1,1,1,1,1
1,0,0,0,1,1
14,217,10,14,13,1
5,10,1,2,4,1
1,2,1,1,1,1
12,6,1,1,4,1
4,20,2,4,10,1
187,1047,16,16,28,0
1,0,0,0,1,1
1,1,1,1,1,1
3,0,0,0,2,1
58,433,10,10,27,0
2,0,0,0,1,1
1,0,0,0,1,1
1,0,0,0,1,1
1,0,0,0,1,1
1,5,1,1,1,1
50,313,8,8,26,0
3,0,0,0,1,1
32,176,8,8,10,0
23,22,2,2,10,0
14,42,3,3,8,1
1,3,1,1,1,1
1,1,1,1,1,1
1,0,0,0,1,1
1,5,1,1,1,1
1,0,0,0,1,1
1,0,0,0,1,1
53,698,14,14,34,0
2,2,1,1,1,1
11,2,1,1,3,1
1,4,1,1,1,1
10,1,1,1,9,1
2,2,1,1,2,1
6,4,1,1,2,1
17,89,5,5,10,1
2,0,0,0,2,1
101,1829,24,24,25,0
25,101,4,4,21,0
1,3,1,1,1,1
12,85,4,7,13,1
16,25,3,3,10,1
23,123,7,7,12,0
9,3,1,1,13,1
4,1,1,1,3,1
1,0,0,0,1,1
9,2,1,1,4,1
5,7,2,2,9,1
1,0,0,0,1,1
9,29,3,3,13,1
4,2,1,1,2,1
2,0,0,0,2,1
14,24,4,4,9,1
24,174,8,8,9,0
46,542,14,14,14,0
94,928,15,15,19,0
2,0,0,0,1,1
1,0,0,0,1,1
1,6,1,1,1,1
1,0,0,0,1,1
74,369,9,9,35,0
7,4,1,1,8,1
1,2,1,1,1,1
12,70,6,6,5,1
1,0,0,0,1,1
1,0,0,0,1,1
9,4,1,1,4,1
1,0,0,0,1,1
2,0,0,0,1,1
30,255,8,8,12,0
4,3,1,1,3,1
4,22,2,4,4,1
66,183,5,5,14,0
2,18,0,2,2,1
3,13,1,3,6,1
165,881,14,14,19,0
1,0,0,0,1,1
4,11,2,2,3,1
25,74,4,4,17,0
3,13,1,3,2,1
1,0,0,0,1,1
2,0,0,0,2,1
12,141,6,11,4,1
3,0,0,0,1,1
1,0,0,0,1,1
9,32,3,3,6,1
7,5,1,1,5,1
1,0,0,0,1,1
1,0,0,0,1,1
2,0,0,0,3,1
1,0,0,0,1,1
1,1,1,1,1,1
1,0,0,0,1,1
2,0,0,0,2,1
5,0,0,0,2,1
20,84,4,4,6,1
1,1,1,1,1,1
2,0,0,0,1,1
10,197,6,10,11,1
7,129,4,7,5,1
1,1,1,1,1,1
1,1,1,1,1,1
5,5,1,1,4,1
12,27,2,2,9,1
2,2,1,1,5,1
1,9,1,1,1,1
15,78,5,5,19,1
29,2211,15,29,17,0
23,47,4,4,9,0
10,52,4,5,3,1
19,92,6,6,15,1
16,15,3,3,22,1
1,0,0,0,1,1
29,125,5,5,17,0
6,6,1,1,7,1
9,13,2,2,11,1
5,5,1,1,7,1
50,114,6,6,18,0
1,0,0,0,1,1
1,0,0,0,1,1
2,18,1,2,2,1
5,1,1,1,2,1
29,67,5,5,13,0
18,74,4,4,7,1
8,160,6,8,6,1
1,1,1,1,1,1
1,0,0,0,1,1
18,38,4,4,20,1
1,7,1,1,1,1
9,4,1,1,6,1
5,1,1,1,4,1
32,52,4,4,16,0
10,73,4,7,8,1
3,0,0,0,3,1
2,46,0,2,2,1
30,120,5,5,20,0
4,11,2,2,3,1
74,196,7,7,40,0
2,1,1,1,2,1
3,18,0,3,5,1
4,3,1,1,4,1
1,0,0,0,1,1
2,0,0,0,2,1
10,7,1,1,7,1
11,123,4,11,15,1
3,2,1,1,6,1
2,0,0,0,1,1
8,32,3,4,6,1
1,0,0,0,1,1
5,0,0,0,6,1
1,1,1,1,1,1
16,87,4,5,11,1
1,0,0,0,1,1
13,76,5,5,13,1
38,156,6,6,36,0
24,56,4,4,28,0
2,16,0,2,2,1
107,414,9,9,24,0
7,3,1,1,15,1
4,9,1,2,3,1
5,8,1,1,7,1
1,0,0,0,1,1
5,23,1,4,8,1
5,5,2,2,7,1
2,9,1,2,2,1
1,0,0,0,1,1
7,92,4,7,6,1
2,15,1,2,2,1
15,12,2,2,17,1
2,1,1,1,1,1
2,1,1,1,1,1
1,0,0,0,1,1
19,148,7,7,5,1
2,0,0,0,2,1
30,54,3,3,9,0
3,5,1,1,5,1
12,42,4,4,6,1
1,0,0,0,1,1
5,31,4,5,6,1
22,48,4,4,10,0
22,139,7,7,22,0
10,147,5,10,4,1
16,63,5,5,7,1
1,0,0,0,1,1
49,110,6,6,22,0
4,8,2,2,8,1
2,23,1,2,4,1
1,25,1,1,1,1
2,0,0,0,2,1
2,0,0,0,1,1
16,36,3,3,7,1
2,23,1,2,6,1
139,2992,27,27,31,0
1,1,1,1,1,1
1,0,0,0,1,1
15,283,6,15,17,1
4,8,2,2,6,1
5,48,3,5,3,1
1,0,0,0,1,1
6,18,3,3,9,1
1,0,0,0,1,1
31,100,4,4,9,0
1,0,0,0,1,1
2,0,0,0,1,1
1,0,0,0,1,1
52,72,4,4,9,0
7,101,3,7,18,1
1,3,1,1,1,1
21,734,14,21,18,0
2,1,1,1,1,1
56,143,5,5,12,0
3,17,0,3,4,1
1,0,0,0,1,1
31,103,5,5,23,0
4,3,1,1,3,1
1,0,0,0,1,1
2,0,0,0,1,1
11,156,4,11,10,1
19,415,7,19,19,1
1,0,0,0,1,1
1,0,0,0,1,1
1,0,0,0,1,1
1,0,0,0,1,1
13,62,2,4,13,1
21,63,4,4,9,0
41,20,2,2,13,0
1,1,1,1,1,1
1,0,0,0,1,1
1,0,0,0,1,1
1,0,0,0,1,1
2,1,1,1,2,1
80,262,9,9,10,0
5,3,1,1,20,1
1,0,0,0,1,1
1,1,1,1,1,1
2,0,0,0,3,1
9,28,2,3,5,1
1,2,1,1,1,1
1,0,0,0,1,1
1,0,0,0,1,1
1,4,1,1,1,1
1,1,1,1,1,1
9,74,4,8,6,1
197,5888,39,39,29,0
5,9,1,1,6,1
40,315,11,11,9,0
11,108,6,9,5,1
1,6,1,1,1,1
65,515,11,11,16,0
11,389,6,11,10,1
2,0,0,0,1,1
26,382,7,14,29,0
21,120,4,5,16,0
152,1019,17,17,35,0
20,1295,10,20,10,1
2,0,0,0,2,1
5,124,3,5,6,1
33,106,6,6,13,0
34,148,6,6,17,0
10,22,3,3,6,1
2,0,0,0,1,1
127,6180,35,48,24,0
8,43,4,5,5,1
6,20,2,3,7,1
4,6,1,1,3,1
1,0,0,0,1,1
6,4,1,1,4,1
1,0,0,0,1,1
4,7,2,2,6,1
1,0,0,0,1,1
3,2,1,1,6,1
2,0,0,0,2,1
2,2,1,1,3,1
352,12670,50,50,41,0
1,0,0,0,1,1
44,121,7,7,48,0
1,0,0,0,1,1
9,228,5,9,21,1
90,322,9,9,12,0
3,4,1,1,3,1
1,0,0,0,1,1
4,12,2,3,6,1
5,12,2,2,4,1
4,9,2,2,5,1
1,2,1,1,1,1
7,98,3,7,4,1
8,85,6,8,6,1
78,332,10,10,32,0
3,0,0,0,4,1
9,0,0,0,3,1
39,157,7,7,14,0
14,74,5,5,17,1
2,1,1,1,3,1
104,1694,21,21,19,0
2,0,0,0,1,1
9,43,4,4,5,1
1,0,0,0,1,1
4,7,2,2,3,1
14,147,5,10,14,1
1,0,0,0,1,1
1,0,0,0,1,1
6,12,2,2,4,1
11,52,2,4,17,1
13,579,6,13,16,1
5,21,3,4,5,1
13,32,3,3,7,1
4,457,0,4,5,1
1,0,0,0,1,1
1,3,1,1,1,1
33,172,7,7,10,0
2,2,1,1,2,1
2,8,1,2,1,1
22,11,2,2,9,0
62,67,5,5,10,0
3,1,1,1,4,1
29,414,7,14,12,0
17,9,2,2,9,1
1,0,0,0,1,1
1,1,1,1,1,1
1,0,0,0,1,1
3,3,1,1,4,1
2,0,0,0,1,1
1,0,0,0,1,1
5,2,1,1,9,1
6,17,3,3,5,1
1,1,1,1,1,1
1,0,0,0,1,1
170,1561,20,20,21,0
2,0,0,0,1,1
97,416,10,10,14,0
12,24,2,2,14,1
1,0,0,0,1,1
1,17,1,1,1,1
2,6,1,2,1,1
4,3,1,1,5,1
6,296,5,6,6,1
2,4,0,2,2,1
3,2,1,1,3,1
26,265,9,10,22,0
61,326,8,8,22,0
7,9,2,2,5,1
3,4,1,1,2,1
5,1,1,1,10,1
2,0,0,0,1,1
2,9,1,2,1,1
2,26,0,2,2,1
1,0,0,0,1,1
21,33,3,3,11,0
1,34,1,1,1,1
13,47,5,5,9,1
1,1,1,1,1,1
1,0,0,0,1,1
29,18,3,3,6,1
1,0,0,0,1,1
1,2,1,1,1,1
5,7,2,2,13,1
1,0,0,0,1,1
1,0,0,0,1,1
39,727,9,18,40,0
2,0,0,0,3,1
1,0,0,0,1,1
2,0,0,0,3,1
53,286,6,6,22,0
3,0,0,0,1,1
2,0,0,0,1,1
9,6,1,1,5,1
11,16,3,3,8,1
7,13,2,2,6,1
7,23,3,3,10,1
6,4,1,1,3,1
10,10,2,2,4,1
2,29,1,2,1,1
52,612,9,11,18,0
9,114,5,9,6,1
16,9,1,1,11,1
10,26,3,3,11,1
26,162,7,7,21,0
3,0,0,0,1,1
67,356,9,9,25,0
1,0,0,0,1,1
8,40,4,5,6,1
75,212,7,7,19,0
7,22,4,4,8,1
2,1,1,1,3,1
21,114,7,7,5,1
1,1,1,1,1,1
4,8,1,2,3,1
9,33,1,3,7,1
1,0,0,0,1,1
7,4,1,1,3,1
14,48,5,5,16,1
1,0,0,0,1,1
7,2,1,1,12,1
1,0,0,0,1,1
21,29,3,3,16,0
1,5,1,1,1,1
1,0,0,0,1,1
10,30,3,3,5,1
47,1755,22,37,24,0
1,0,0,0,1,1
21,71,4,4,13,0
5,10,2,2,2,1
2,0,0,0,4,1
1,23,1,1,1,1
1,0,0,0,1,1
100,1334,21,21,13,0
9,6,1,1,17,1
89,761,12,12,25,0
10,21,3,3,7,1
17,33,3,3,17,1
1,1,1,1,1,1
2,0,0,0,1,1
5,3,1,1,12,1
46,1254,15,27,14,0
1,2,1,1,1,1
10,5,1,1,10,1
3,0,0,0,2,1
3,20,0,3,4,1
11,27,3,3,8,1
2,0,0,0,1,1
1,0,0,0,1,1
1,0,0,0,1,1
4,17,3,4,4,1
42,118,6,6,18,0
1,0,0,0,1,1
1,0,0,0,1,1
54,220,6,6,9,0
4,0,0,0,4,1
1,3,1,1,1,1
5,7,2,2,7,1
6,167,5,6,6,1
39,145,7,7,12,0
3,20,0,3,2,1
1,2,1,1,1,1
20,9,2,2,7,1
4,2,1,1,2,1
13,21,3,3,6,1
297,9037,45,45,38,0
55,257,7,7,24,0
14,4,1,1,10,1
30,125,8,8,9,0
1,0,0,0,1,1
19,395,8,19,12,1
13,127,5,9,13,1
2,0,0,0,2,1
2,1,1,1,1,1
1,0,0,0,1,1
31,43,4,4,15,0
2,6,0,2,2,1
1,0,0,0,1,1
47,151,7,7,13,0
1,0,0,0,1,1
4,7,2,2,5,1
3,24,2,3,2,1
1,1,1,1,1,1
2,22,0,2,3,1
4,1,1,1,2,1
4,1,1,1,7,1
8,22,2,2,13,1
5,29,3,5,7,1
3,9,1,3,3,1
3,0,0,0,3,1
1,1,1,1,1,1
8,16,2,2,6,1
2,13,0,2,1,1
1,1,1,1,1,1
5,1,1,1,13,1
2,0,0,0,1,1
13,29,3,3,9,1
95,253,8,8,21,0
1,1,1,1,1,1
2,0,0,0,1,1
4,4,1,1,5,1
29,38,4,4,9,0
5,2,1,1,7,1
7,15,2,2,8,1
29,177,8,8,16,0
8,44,5,5,6,1
3,102,0,3,2,1
9,189,5,9,9,1
4,7,2,2,2,1
16,140,6,8,7,1
120,992,15,15,30,0
52,722,11,13,21,0
4,3,1,1,3,1
11,38,4,4,16,1
3,1,1,1,5,1
1,0,0,0,1,1
7,2,1,1,8,1
5,7,2,2,3,1
129,644,12,12,21,0
4,11,1,2,6,1
4,60,0,4,3,1
14,97,5,6,21,1
6,57,2,6,3,1
2,14,0,2,2,1
4,4,1,1,2,1
1,0,0,0,1,1
6,2,1,1,6,1
2,29,0,2,6,1
1,0,0,0,1,1
15,71,5,5,11,1
1,0,0,0,1,1
9,77,5,8,22,1
2,1,1,1,2,1
33,190,4,5,21,0
56,251,10,10,22,0
34,88,6,6,10,0
3,1,1,1,2,1
7,15,2,2,28,1
2,2,1,1,3,1
7,143,6,7,6,1
2,0,0,0,1,1
7,94,4,7,20,1
3,0,0,0,1,1
1,14,1,1,1,1
3,8,2,2,2,1
1,0,0,0,1,1
20,79,5,5,12,1
1,2,1,1,1,1
4,40,0,4,2,1
1,0,0,0,1,1
9,3,1,1,12,1
1,0,0,0,1,1
37,285,8,8,20,0
32,381,13,13,13,0
2,1,1,1,1,1
2,0,0,0,1,1
1,0,0,0,1,1
117,929,16,16,28,0
20,64,4,4,16,1
2,0,0,0,2,1
3,0,0,0,3,1
7,18,2,2,6,1
24,103,7,7,10,0
9,14,3,3,15,1
34,38,4,4,24,0
1,2,1,1,1,1
8,21,2,2,8,1
61,977,13,16,17,0
15,52,4,4,7,1
10,26,3,3,7,1
11,113,4,10,10,1
1,2,1,1,1,1
11,46,4,4,9,1
59,121,6,6,12,0
1,14,1,1,1,1
1,5,1,1,1,1
1,2,1,1,1,1
1,0,0,0,1,1
2,0,0,0,1,1
25,57,4,4,23,0
3,1,1,1,2,1
4,1,1,1,5,1
31,188,8,8,12,0
5,16,2,3,7,1
1,0,0,0,1,1
1,0,0,0,1,1
3,0,0,0,2,1
5,39,2,5,5,1
3,4,2,2,1,1
4,15,3,3,7,1
1,0,0,0,1,1
45,314,11,11,17,0
70,1130,19,19,18,0
3,6,2,2,2,1
1,0,0,0,1,1
3,0,0,0,8,1
1,0,0,0,1,1
39,94,5,5,15,0
9,3,1,1,18,1
1,1,1,1,1,1
2,0,0,0,3,1
1,8,1,1,1,1
1,6,1,1,1,1
111,1285,17,17,23,0
5,9,1,1,7,1
24,62,5,5,13,0
1,0,0,0,1,1
1,2,1,1,1,1
10,32,3,3,4,1
6,7,2,2,4,1
1,0,0,0,1,1
23,115,6,6,10,0
65,1313,16,20,26,0
17,38,4,4,8,1
7,6,2,2,4,1
32,171,7,7,13,0
7,4,1,1,2,1
90,116,6,6,20,0
3,1,1,1,1,1
5,0,0,0,2,1
3,0,0,0,1,1
1,0,0,0,1,1
9,0,0,0,2,1
4,84,0,4,6,1
17,61,4,4,11,1
2,1,1,1,3,1
7,28,3,4,6,1
1,12,1,1,1,1
1,0,0,0,1,1
6,5,1,1,4,1
2,212,0,2,4,1
1,0,0,0,1,1
2,0,0,0,1,1
24,33,3,3,25,0
3,27,2,3,2,1
2,19,0,2,3,1
70,759,15,15,26,0
1,3,1,1,1,1
70,275,8,8,22,0
1,1,1,1,1,1
58,508,11,11,20,0
5,17,1,3,3,1
3,13,2,3,7,1
7,94,6,7,6,1
2,18,0,2,5,1
25,63,5,5,18,0
3,0,0,0,2,1
5,0,0,0,4,1
2,0,0,0,2,1
2,14,1,2,1,1
31,49,3,3,21,0
3,1,1,1,5,1
39,148,6,6,13,0
1,0,0,0,1,1
22,73,5,5,8,1
6,20,2,3,6,1
2,18,0,2,3,1
73,326,10,10,18,0
2,0,0,0,4,1
20,14,2,2,8,1
30,127,8,8,19,0
1,2,1,1,1,1
34,368,10,10,13,0
9,6,1,1,11,1
1,0,0,0,1,1
1,0,0,0,1,1
3,0,0,0,15,1
8,51,3,6,3,1
11,46,3,4,2,1
3,7,2,2,4,1
1,0,0,0,1,1
17,13,2,2,9,1
17,81,5,5,9,1
2,1,1,1,1,1
1,0,0,0,1,1
18,222,9,12,12,1
5,23,1,4,4,1
2,68,0,2,2,1
1,0,0,0,1,1
1,0,0,0,1,1
1,0,0,0,1,1
17,29,3,3,8,1
7,49,4,7,7,1
23,76,5,5,11,0
40,94,5,5,14,0
15,29,3,3,6,1
24,5,2,2,21,0
1,4,1,1,1,1
39,148,6,6,19,0
4,2,1,1,3,1
1,0,0,0,1,1
3,13,2,3,3,1
9,2,1,1,10,1
13,110,4,8,11,1
26,7,2,2,5,1
49,222,6,6,19,0
1,2,1,1,1,1
1,0,0,0,1,1
1,1,1,1,1,1
1,0,0,0,1,1
56,674,12,12,16,0
1,0,0,0,1,1
26,11,2,2,9,0
1,0,0,0,1,1
93,393,12,12,26,0
1,0,0,0,1,1
83,719,13,13,33,0
9,24,3,3,5,1
4,0,0,0,5,1
1,44,1,1,1,1
3,6,2,2,2,1
1,1,1,1,1,1
15,23,3,3,18,1
1,0,0,0,1,1
8,8,2,2,11,1
14,0,0,0,4,1
2,0,0,0,3,1
95,265,8,8,23,0
14,13,2,2,5,1
3,0,0,0,2,1
11,54,4,4,11,1
1,0,0,0,1,1
1,0,0,0,1,1
1,0,0,0,1,1
1,0,0,0,1,1
32,193,6,6,8,1
7,7,2,2,3,1
3,44,2,3,2,1
